SurveyID,RegistrationID,SurveySatisfactionScore,SurveyUsefulnessScore,SurveyInstructorScore,SurveyRecommendationScore,SurveyOverallScore,SurveyNPSBucket,SurveyComments,SurveySubmissionDate
S1,R3,5,4,5,4,4.5,Passive,"The panel Q&A during Mentor Office Hours really clicked for me, I left with actionable next steps; I left energized to keep learning. The networking breakouts during Mentor Office Hours really clicked for me, the pacing made complex ideas feel doable.",2024-10-28 16:14:00
S2,R5,5,4,5,5,4.75,Promoter,"At first, the pacing made complex ideas feel doable, the goal-setting exercise during Mentor Office Hours really clicked for me; I left energized to keep learning. The pacing made complex ideas feel doable, the mentor roundtable during Mentor Office Hours really clicked for me; This was absolutely worth the time. (wish there had been more time).",2023-08-28 23:10:00
S3,R6,4,5,5,4,4.5,Passive,"The goal-setting exercise during Girls in STEAM Mentoring really clicked for me, it boosted my confidence more than I expected; This was absolutely worth the time. The networking breakouts during Girls in STEAM Mentoring really clicked for me, there were concrete examples I can reuse at school; I'd definitely recommend this to a friend.",2024-11-06 16:19:00
S4,R7,5,3,4,5,4.25,Promoter,"Overall, the mentor roundtable during Mentor Office Hours really clicked for me, the hands-on segment tied everything together. To be fair, the networking breakouts during Mentor Office Hours really clicked for me, the hands-on segment tied everything together. The networking breakouts during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; It was useful overall. — next time I'd bring a friend. The mentors were down-to-earth and answered real questions, the networking breakouts during Mentor Office Hours really clicked for me; I might recommend it depending on the topic.",2022-01-03 18:28:00
S5,R8,4,4,5,4,4.25,Passive,"I met people who want to collaborate on projects, the resume clinic during Mentor Office Hours really clicked for me. The panel Q&A during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; I might recommend it depending on the topic.",2025-10-05 15:09:00
S6,R11,4,4,4,5,4.25,Promoter,"The hands-on segment tied everything together, the networking breakouts during Girls in STEAM Mentoring really clicked for me; I'm curious to see how the next session improves! The pacing made complex ideas feel doable, the panel Q&A during Girls in STEAM Mentoring really clicked for me; I'd attend again with a clearer agenda.",2023-04-04 12:03:00
S7,R12,4,5,5,5,4.75,Promoter,"I left with actionable next steps, the Python lab during Monthly Coding Club really clicked for me; I left energized to keep learning. The pacing made complex ideas feel doable, the Arduino demo during Monthly Coding Club really clicked for me.",2024-06-16 22:02:00
S8,R13,4,4,4,5,4.25,Promoter,"In my opinion, the color theory lesson during Intro to Painting Class really clicked for me, the organizers ran things smoothly even with a big crowd.",2025-09-19 09:08:00
S9,R14,4,4,4,5,4.25,Promoter,"The Python lab during Robotics Lab Saturday really clicked for me, the organizers ran things smoothly even with a big crowd — which surprised me in a good way. I didn't expect this, but, the Python lab during Robotics Lab Saturday really clicked for me, there were concrete examples I can reuse at school (snacks were a plus). The robot build during Robotics Lab Saturday really clicked for me, the pacing made complex ideas feel doable.",2024-02-05 08:06:00
S10,R15,5,5,4,5,4.75,Promoter,"I left with actionable next steps, the panel Q&A during Mentor Office Hours really clicked for me; I'd come again and bring a classmate next time! The pacing made complex ideas feel doable, the resume clinic during Mentor Office Hours really clicked for me! Overall, I left with actionable next steps, the panel Q&A during Mentor Office Hours really clicked for me; I left energized to keep learning!",2024-06-16 15:22:00
S11,R16,4,4,5,5,4.5,Promoter,"In my opinion, the mixed-media project during Intro to Painting Class really clicked for me, it boosted my confidence more than I expected; I'd come again and bring a classmate next time. The sketch warmups during Intro to Painting Class really clicked for me, it boosted my confidence more than I expected!",2024-09-05 15:26:00
S12,R17,4,5,4,5,4.5,Promoter,"I left with actionable next steps, the networking breakouts during Mentor Office Hours really clicked for me. There were concrete examples I can reuse at school, the mentor roundtable during Mentor Office Hours really clicked for me — next time I'd bring a friend. The panel Q&A during Mentor Office Hours really clicked for me, I left with actionable next steps; This was absolutely worth the time!",2025-08-25 23:28:00
S13,R18,5,5,4,4,4.5,Passive,"There were concrete examples I can reuse at school, the Arduino demo during Data Science Study Group really clicked for me; I left energized to keep learning! To be fair, the web dev sprint during Data Science Study Group really clicked for me, there were concrete examples I can reuse at school; I'd definitely recommend this to a friend. At first, I left with actionable next steps, the web dev sprint during Data Science Study Group really clicked for me.",2021-11-12 09:07:00
S14,R19,5,4,5,5,4.75,Promoter,"The coding challenges during Data Science Study Group really clicked for me, the pacing made complex ideas feel doable; I'd definitely recommend this to a friend. The coding challenges during Data Science Study Group really clicked for me, I met people who want to collaborate on projects; This was absolutely worth the time. There were concrete examples I can reuse at school, the robot build during Data Science Study Group really clicked for me.",2023-03-03 08:22:00
S15,R20,4,3,4,5,4.0,Promoter,"If I'm being honest, the panel Q&A during Mentor Office Hours really clicked for me, the organizers ran things smoothly even with a big crowd (snacks were a plus)! I didn't expect this, but, the resume clinic during Mentor Office Hours really clicked for me, the hands-on segment tied everything together (wish there had been more time).",2023-07-03 14:11:00
S16,R21,4,4,5,5,4.5,Promoter,"The panel Q&A during Girls in STEAM Mentoring really clicked for me, the organizers ran things smoothly even with a big crowd; I'd come again and bring a classmate next time. The networking breakouts during Girls in STEAM Mentoring really clicked for me, I met people who want to collaborate on projects. By the end, the hands-on segment tied everything together, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me.",2023-09-06 12:17:00
S17,R22,4,4,4,5,4.25,Promoter,"In my opinion, the mentor roundtable during Leadership Circle Meetup really clicked for me, I met people who want to collaborate on projects. From my perspective, it boosted my confidence more than I expected, the mentor roundtable during Leadership Circle Meetup really clicked for me.",2023-05-17 05:27:00
S18,R24,4,5,4,3,4.0,Detractor,"Honestly, the gallery walk during Intro to Painting Class really clicked for me, the organizers ran things smoothly even with a big crowd; It was useful overall. The organizers ran things smoothly even with a big crowd, the gallery walk during Intro to Painting Class really clicked for me; It was useful overall. (wish there had been more time). To be fair, the organizers ran things smoothly even with a big crowd, the sketch warmups during Intro to Painting Class really clicked for me; I might recommend it depending on the topic. — especially for beginners!",2022-09-30 06:28:00
S19,R25,5,4,4,5,4.5,Promoter,"The mentors were down-to-earth and answered real questions, the color theory lesson during Intro to Painting Class really clicked for me.",2023-06-02 08:10:00
S20,R27,4,4,5,5,4.5,Promoter,"To be fair, the web dev sprint during Data Science Study Group really clicked for me, it boosted my confidence more than I expected! I met people who want to collaborate on projects, the Arduino demo during Data Science Study Group really clicked for me; I'd definitely recommend this to a friend. (snacks were a plus)!",2022-11-24 23:11:00
S21,R29,5,4,4,5,4.5,Promoter,"The goal-setting exercise during Girls in STEAM Mentoring really clicked for me, I left with actionable next steps; I'd come again and bring a classmate next time. The organizers ran things smoothly even with a big crowd, the mentor roundtable during Girls in STEAM Mentoring really clicked for me. Surprisingly, the networking breakouts during Girls in STEAM Mentoring really clicked for me, I left with actionable next steps; I'd definitely recommend this to a friend.",2023-09-12 20:19:00
S22,R30,4,4,5,5,4.5,Promoter,"The data activity during Robotics Lab Saturday really clicked for me, I left with actionable next steps; I left energized to keep learning. Honestly, the Python lab during Robotics Lab Saturday really clicked for me, it boosted my confidence more than I expected; This pushed me to apply for a related program.",2025-05-03 11:08:00
S23,R32,5,4,5,3,4.25,Detractor,"The breakout workshops during Ella Rises Annual Leadership Conference really clicked for me, the hands-on segment tied everything together. The breakout workshops during Ella Rises Annual Leadership Conference really clicked for me, the organizers ran things smoothly even with a big crowd; I'm curious to see how the next session improves. — next time I'd bring a friend.",2022-06-17 08:26:00
S24,R33,4,3,5,5,4.25,Promoter,"Overall, the data activity during Web Dev Bootcamp Night really clicked for me, the mentors were down-to-earth and answered real questions; I'm curious to see how the next session improves. The coding challenges during Web Dev Bootcamp Night really clicked for me, I left with actionable next steps; I might recommend it depending on the topic!",2022-05-29 00:07:00
S25,R34,4,4,4,5,4.25,Promoter,"The pacing made complex ideas feel doable, the data activity during Web Dev Bootcamp Night really clicked for me; I'd attend again with a clearer agenda. The data activity during Web Dev Bootcamp Night really clicked for me, the organizers ran things smoothly even with a big crowd; I'd attend again with a clearer agenda.",2022-06-24 15:23:00
S26,R35,4,3,5,4,4.0,Passive,"The mentor roundtable during Mentor Office Hours really clicked for me, the hands-on segment tied everything together; I'd attend again with a clearer agenda. The mentors were down-to-earth and answered real questions, the resume clinic during Mentor Office Hours really clicked for me. It boosted my confidence more than I expected, the networking breakouts during Mentor Office Hours really clicked for me.",2025-06-09 20:06:00
S27,R36,5,5,4,5,4.75,Promoter,"The networking breakouts during Mentor Office Hours really clicked for me, the organizers ran things smoothly even with a big crowd. The panel Q&A during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; I left energized to keep learning!",2024-04-23 09:11:00
S28,R37,5,5,4,5,4.75,Promoter,"There were concrete examples I can reuse at school, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me (wish there had been more time). From my perspective, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me, it boosted my confidence more than I expected; This pushed me to apply for a related program. In my opinion, the hands-on segment tied everything together, the mentor roundtable during Girls in STEAM Mentoring really clicked for me.",2024-06-13 09:26:00
S29,R40,5,5,5,4,4.75,Passive,"To be fair, the web dev sprint during Robotics Lab Saturday really clicked for me, the organizers ran things smoothly even with a big crowd. There were concrete examples I can reuse at school, the Arduino demo during Robotics Lab Saturday really clicked for me; This was absolutely worth the time.",2023-03-12 02:14:00
S30,R41,4,5,5,4,4.5,Passive,"It boosted my confidence more than I expected, the resume clinic during Girls in STEAM Mentoring really clicked for me. The mentors were down-to-earth and answered real questions, the panel Q&A during Girls in STEAM Mentoring really clicked for me!",2022-10-11 22:24:00
S31,R42,5,4,5,5,4.75,Promoter,"Honestly, I met people who want to collaborate on projects, the resume clinic during Mentor Office Hours really clicked for me. To be fair, the goal-setting exercise during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected. The mentors were down-to-earth and answered real questions, the panel Q&A during Mentor Office Hours really clicked for me.",2023-06-20 04:03:00
S32,R43,5,4,3,5,4.25,Promoter,"From my perspective, there were concrete examples I can reuse at school, the panel Q&A during Mentor Office Hours really clicked for me. To be fair, the mentors were down-to-earth and answered real questions, the panel Q&A during Mentor Office Hours really clicked for me. The mentors were down-to-earth and answered real questions, the panel Q&A during Mentor Office Hours really clicked for me.",2021-12-07 09:15:00
S33,R44,5,3,5,4,4.25,Passive,"If I'm being honest, the mentor roundtable during Girls in STEAM Mentoring really clicked for me, the pacing made complex ideas feel doable; It was useful overall! Honestly, the panel Q&A during Girls in STEAM Mentoring really clicked for me, there were concrete examples I can reuse at school; It was useful overall. Overall, the pacing made complex ideas feel doable, the mentor roundtable during Girls in STEAM Mentoring really clicked for me. Surprisingly, the mentor roundtable during Girls in STEAM Mentoring really clicked for me, the hands-on segment tied everything together; It was useful overall. — which surprised me in a good way!",2024-10-23 08:01:00
S34,R47,5,4,5,4,4.5,Passive,"Overall, the mentor roundtable during Mentor Office Hours really clicked for me, the hands-on segment tied everything together; This pushed me to apply for a related program. The goal-setting exercise during Mentor Office Hours really clicked for me, the mentors were down-to-earth and answered real questions; I'd definitely recommend this to a friend. I didn't expect this, but, the organizers ran things smoothly even with a big crowd, the mentor roundtable during Mentor Office Hours really clicked for me! Overall, the resume clinic during Mentor Office Hours really clicked for me, the hands-on segment tied everything together.",2025-03-09 17:26:00
S35,R48,5,4,4,5,4.5,Promoter,"I left with actionable next steps, the robot build during Robotics Lab Saturday really clicked for me; I left energized to keep learning. (wish there had been more time). Honestly, the coding challenges during Robotics Lab Saturday really clicked for me, the hands-on segment tied everything together; I left energized to keep learning. (wish there had been more time). From my perspective, the data activity during Robotics Lab Saturday really clicked for me, the hands-on segment tied everything together — which surprised me in a good way.",2023-04-16 23:01:00
S36,R50,4,3,5,5,4.25,Promoter,"I didn't expect this, but, I left with actionable next steps, the mentor roundtable during Mentor Office Hours really clicked for me; It was useful overall. I met people who want to collaborate on projects, the panel Q&A during Mentor Office Hours really clicked for me; It was useful overall. — especially for beginners. The panel Q&A during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; It was useful overall.",2023-08-28 13:12:00
S37,R51,4,4,4,5,4.25,Promoter,"There were concrete examples I can reuse at school, the panel Q&A during Mentor Office Hours really clicked for me. Overall, the mentor roundtable during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected. The goal-setting exercise during Mentor Office Hours really clicked for me, I left with actionable next steps (snacks were a plus).",2023-05-09 07:00:00
S38,R52,5,5,5,5,5.0,Promoter,"The panel Q&A during Girls in STEAM Mentoring really clicked for me, the hands-on segment tied everything together. Overall, there were concrete examples I can reuse at school, the mentor roundtable during Girls in STEAM Mentoring really clicked for me.",2023-05-16 19:12:00
S39,R53,5,4,4,4,4.25,Passive,"By the end, I left with actionable next steps, the networking breakouts during Leadership Circle Meetup really clicked for me; I'd attend again with a clearer agenda. — next time I'd bring a friend. Overall, the networking breakouts during Leadership Circle Meetup really clicked for me, the mentors were down-to-earth and answered real questions. The goal-setting exercise during Leadership Circle Meetup really clicked for me, I left with actionable next steps (snacks were a plus)!",2023-03-15 22:14:00
S40,R54,5,4,5,5,4.75,Promoter,"Overall, the coding challenges during Web Dev Bootcamp Night really clicked for me, the mentors were down-to-earth and answered real questions (snacks were a plus). The coding challenges during Web Dev Bootcamp Night really clicked for me, the organizers ran things smoothly even with a big crowd; I'd definitely recommend this to a friend. The coding challenges during Web Dev Bootcamp Night really clicked for me, the organizers ran things smoothly even with a big crowd; This pushed me to apply for a related program.",2024-12-28 06:07:00
