SurveyID,RegistrationID,SurveySatisfactionScore,SurveyUsefulnessScore,SurveyInstructorScore,SurveyRecommendationScore,SurveyOverallScore,SurveyNPSBucket,SurveyComments,SurveySubmissionDate
1,3,5,4,5,4,4.5,Passive,"The panel Q&A during Mentor Office Hours really clicked for me, I left with actionable next steps; I left energized to keep learning. The networking breakouts during Mentor Office Hours really clicked for me, the pacing made complex ideas feel doable.",2024-10-28 16:14:00
2,5,5,4,5,5,4.75,Promoter,"At first, the pacing made complex ideas feel doable, the goal-setting exercise during Mentor Office Hours really clicked for me; I left energized to keep learning. The pacing made complex ideas feel doable, the mentor roundtable during Mentor Office Hours really clicked for me; This was absolutely worth the time. (wish there had been more time).",2023-08-28 23:10:00
3,6,4,5,5,4,4.5,Passive,"The goal-setting exercise during Girls in STEAM Mentoring really clicked for me, it boosted my confidence more than I expected; This was absolutely worth the time. The networking breakouts during Girls in STEAM Mentoring really clicked for me, there were concrete examples I can reuse at school; I'd definitely recommend this to a friend.",2024-11-06 16:19:00
4,7,5,3,4,5,4.25,Promoter,"Overall, the mentor roundtable during Mentor Office Hours really clicked for me, the hands-on segment tied everything together. To be fair, the networking breakouts during Mentor Office Hours really clicked for me, the hands-on segment tied everything together. The networking breakouts during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; It was useful overall. — next time I'd bring a friend. The mentors were down-to-earth and answered real questions, the networking breakouts during Mentor Office Hours really clicked for me; I might recommend it depending on the topic.",2022-01-03 18:28:00
5,8,4,4,5,4,4.25,Passive,"I met people who want to collaborate on projects, the resume clinic during Mentor Office Hours really clicked for me. The panel Q&A during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; I might recommend it depending on the topic.",2025-10-05 15:09:00
6,11,4,4,4,5,4.25,Promoter,"The hands-on segment tied everything together, the networking breakouts during Girls in STEAM Mentoring really clicked for me; I'm curious to see how the next session improves! The pacing made complex ideas feel doable, the panel Q&A during Girls in STEAM Mentoring really clicked for me; I'd attend again with a clearer agenda.",2023-04-04 12:03:00
7,12,4,5,5,5,4.75,Promoter,"I left with actionable next steps, the Python lab during Monthly Coding Club really clicked for me; I left energized to keep learning. The pacing made complex ideas feel doable, the Arduino demo during Monthly Coding Club really clicked for me.",2024-06-16 22:02:00
8,13,4,4,4,5,4.25,Promoter,"In my opinion, the color theory lesson during Intro to Painting Class really clicked for me, the organizers ran things smoothly even with a big crowd.",2025-09-19 09:08:00
9,14,4,4,4,5,4.25,Promoter,"The Python lab during Robotics Lab Saturday really clicked for me, the organizers ran things smoothly even with a big crowd — which surprised me in a good way. I didn't expect this, but, the Python lab during Robotics Lab Saturday really clicked for me, there were concrete examples I can reuse at school (snacks were a plus). The robot build during Robotics Lab Saturday really clicked for me, the pacing made complex ideas feel doable.",2024-02-05 08:06:00
10,15,5,5,4,5,4.75,Promoter,"I left with actionable next steps, the panel Q&A during Mentor Office Hours really clicked for me; I'd come again and bring a classmate next time! The pacing made complex ideas feel doable, the resume clinic during Mentor Office Hours really clicked for me! Overall, I left with actionable next steps, the panel Q&A during Mentor Office Hours really clicked for me; I left energized to keep learning!",2024-06-16 15:22:00
